usbr_id,USBR_PE,tz,obs_desc,site_desc
GRSI,PC,M,"PRECIP, CUMULATIVE (INCHES OF WATER) (20in Belfort)","Grouse, ID"
GRZO,OB,P,Air Temperature - Deg. F,"Grizzly, OR"
GRZO,PC,P,"PRECIP, CUMULATIVE (INCHES OF WATER) (12""Belfort)","Grizzly, OR"
GSPO,AF,P,,"Green Springs Powerplant near Ashland, OR"
GSPO,OB,P,Air Temperature - Deg. F,"Green Springs Powerplant near Ashland, OR"
GSPO,Q,P,Discharge - cfs,"Green Springs Powerplant near Ashland, OR"
GSTO,GH,P,Gauge Height - Feet,"Tualatin River at Gaston, Oregon"
GSTO,OB,P,Air Temperature - Deg. F,"Tualatin River at Gaston, Oregon"
GSTO,PC,P,"Precipitation, Cumulative - Inches (Tipping Bucket)","Tualatin River at Gaston, Oregon"
GSTO,Q,P,Discharge - CFS,"Tualatin River at Gaston, Oregon"
HAY,AF,P,Reservoir Storage - Acre-Feet,"Haystack Reservoir near Culver, OR"
HAY,CH,P,Canal Stage - Feet,"Haystack Reservoir near Culver, OR"
HAY,FB,P,Forebay Elevation - Feet,"Haystack Reservoir near Culver, OR"
HAY,OB,P,Air Temperature - Deg. F,"Haystack Reservoir near Culver, OR"
HAY,PC,P,Precip,"Haystack Reservoir near Culver, OR"
HAY,Q,P,Discharge - CFS,"Haystack Reservoir near Culver, OR"
HEII,GH,M,Gauge Height - Feet,"Snake River near Heise, ID"
HEII,Q,M,Discharge - CFS,"Snake River near Heise, ID"
HEN,AF,M,Reservoir Storage - Acre-Feet,"Henrys Lake Dam on Henrys Fork nr. Lake, ID"
HEN,FB,M,Forebay Elevation - Feet,"Henrys Lake Dam on Henrys Fork nr. Lake, ID"
HENI,GH,M,Gauge Height - Feet,"Henrys Fork near Lake, ID"
HENI,Q,M,Discharge - CFS,"Henrys Fork near Lake, ID"
HERO,OB,P,Air Temperature - Deg. F,Hermiston
HERO,PC,P,"PRECIP, CUMULATIVE",Hermiston
HFAI,GH,M,Gauge Height - Feet,"Henrys Fork near Ashton, ID"
HFAI,Q,M,Discharge - CFS,"Henrys Fork near Ashton, ID"
HGH,AF,M,Reservoir Storage - Acre-Feet,"Hungry Horse Reservoir near Hungry Horse, MT"
HGH,FB,M,Forebay Elevation - Feet,"Hungry Horse Reservoir near Hungry Horse, MT"
HGH,GH,M,Gauge Height - Feet,"Hungry Horse Reservoir near Hungry Horse, MT"
HGHM,GH,M,Gauge Height - Feet,S.Fk. Flathead Riv nr Columbia Falls at Hungry Horse
HGHM,Q,M,Discharge - CFS,S.Fk. Flathead Riv nr Columbia Falls at Hungry Horse
HGH,Q,M,Discharge - CFS,"Hungry Horse Reservoir near Hungry Horse, MT"
HGWM,OB,M,Air Temperature - Deg. F,"Hungry Horse Dam Weather Station, MT"
HGWM,PC,M,"PRECIP, CUMMULATIVE, (INCHES OF WATER) (20""FP NWS)","Hungry Horse Dam Weather Station, MT"
HKBY,OB,M,Air Temperature - Deg. F,"Huckleberry Divide, WY"
HKBY,PC,M,"PRECIP, CUMULATIVE (INCHES OF WATER) (30""Belfort)","Huckleberry Divide, WY"
HLSI,OB,M,Air Temperature - Deg. F,"Hailey Ranger Station, ID"
HLSI,PC,M,"PRECIP, CUMULATIVE (INCHES OF WATER) (20""Belfort)","Hailey Ranger Station, ID"
HOXO,OB,P,Air Temperature - Deg. F,Hood River
HOXO,PC,P,"PRECIP, CUMULATIVE",Hood River
HPCO,AF,P,Reservoir Storage - AF,"Howard Prairie Delivery Canal & Keene Creek Dam, OR"
HPCO,CH,P,Canal Stage - Feet,"Howard Prairie Delivery Canal & Keene Creek Dam, OR"
HPCO,FB,P,Keene Creek Reservoir Forebay Elevation - Feet,"Howard Prairie Delivery Canal & Keene Creek Dam, OR"
HPCO,OB,P,Air Temperature - Deg. F,"Howard Prairie Delivery Canal & Keene Creek Dam, OR"
HPCO,QC,P,Danal discharge - cfs,"Howard Prairie Delivery Canal & Keene Creek Dam, OR"
HPCO,Q,P,Spillway Discharge to Keene Creek - CFS,"Howard Prairie Delivery Canal & Keene Creek Dam, OR"
HPD,AF,P,Reservoir Storage - Acre-Feet,"Howard Prairie Lake and Dam near Ashland, OR"
HPD,CH,P,Canal Gauge Height (feet),"Howard Prairie Lake and Dam near Ashland, OR"
HPD,FB,P,Forebay Elevation - Feet,"Howard Prairie Lake and Dam near Ashland, OR"
HPD,OB,P,Air Temperature - Deg. F,"Howard Prairie Lake and Dam near Ashland, OR"
HPD,QC,P,Canal Discharge - cfs (flume sensor),"Howard Prairie Lake and Dam near Ashland, OR"
HPD,Q,P,Spillway Discharge to Jenny Creek - CFS,"Howard Prairie Lake and Dam near Ashland, OR"
HPWO,OB,P,Air Temperature - Deg. F,"Howard Prairie Dam Weather Station, OR"
HPWO,PC,P,"Precipitation, Cumulative (Inches of Water) (TB)","Howard Prairie Dam Weather Station, OR"
HRFO,OB,P,Air Temperature - Deg. F,Hereford
HRFO,PC,P,"PRECIP, CUMULATIVE",Hereford
HRHW,OB,P,Air Temperature - Deg. F,Harrah
HRHW,PC,P,"PRECIP, CUMULATIVE",Harrah
HRMO,OB,M,Air Temperature - Deg. F,Hermiston RE Center
HRMO,PC,M,"PRECIP, CUMULATIVE",Hermiston RE Center
HRSI,GH,M,Gauge Height - Feet,"Payette River near Horseshoe Bend, ID"
HRSI,Q,M,Discharge - CFS,"Payette River near Horseshoe Bend, ID"
HYA,AF,P,Reservoir Storage - Acre-Feet,"Hyatt Dam and Reservoir near Ashland, OR"
HYA,FB,P,Forebay Elevation - Feet,"Hyatt Dam and Reservoir near Ashland, OR"
HYA,GH,P,Gauge Height - Feet,"Hyatt Dam and Reservoir near Ashland, OR"
HYA,OB,P,Air Temperature - Deg. F,"Hyatt Dam and Reservoir near Ashland, OR"
HYA,PC,P,"PRECIP, CUMULATIVE (INCHES OF WATER) (12"" Belfort)","Hyatt Dam and Reservoir near Ashland, OR"
HYA,Q,P,"Discharge, Outlet works - cfs","Hyatt Dam and Reservoir near Ashland, OR"
IDHI,OB,M,Air Temperature - Deg. F,Idaho City
IDHI,PC,M,"PRECIP, CUMULATIVE (INCHES OF WATER) (30""Belfort)",Idaho City
IMBO,OB,M,Air Temperature - Deg. F,Imbler
IMBO,PC,M,"PRECIP, CUMULATIVE",Imbler
ISL,AF,M,Reservoir Storage - Acre-Feet,"Island Park Dam and Reservoir, ID"
ISL,FB,M,Forebay Elevation - Feet,"Island Park Dam and Reservoir, ID"
ISLI,GH,M,Gauge Height - Feet,"Henrys Fork near Island Park, ID"
ISLI,Q,M,Discharge - CFS,"Henrys Fork near Island Park, ID"
ISL,OB,M,Air Temperature - Deg. F,"Island Park Dam and Reservoir, ID"
JCCO,GH,P,Gauge Height - Feet,Jackson Creek at Central Point
JCCO,Q,P,Discharge - CFS,Jackson Creek at Central Point
JCJO,GH,P,Gauge Height - Feet,JACKSON CR AT JACKSONVILLE
JCJO,Q,P,Discharge - cfs,JACKSON CR AT JACKSONVILLE
JCK,AF,M,Reservoir Storage - Acre-Feet,"Jackson Lake at Dam on Snake River near Moran, WY"
JCK,FB,M,Forebay Elevation - Feet,"Jackson Lake at Dam on Snake River near Moran, WY"
JCK,GH,M,Gauge Height - Feet,"Jackson Lake at Dam on Snake River near Moran, WY"
JCK,OB,M,Air Temperature - Deg. F,"Jackson Lake at Dam on Snake River near Moran, WY"
JCK,PC,M,"Precipitation, Cumulative - Inches (20""FP NWS)","Jackson Lake at Dam on Snake River near Moran, WY"
JCK,Q,M,Discharge - CFS,"Jackson Lake at Dam on Snake River near Moran, WY"
JCTO,CH,P,Canal Gage Height - Feet,Joint System Canal bel Junction nr Lakecreek
JCTO,QC,P,Canal Discharge - cfs,Joint System Canal bel Junction nr Lakecreek
JKNY,OB,M,Air Temperature - Deg. F,Jackson WY Weather Station
JKNY,PC,M,"Precipitation, Cumulative - Inches (20""FP NWS)",Jackson WY Weather Station
JKSY,GH,M,Gauge Height - Feet,"Snake River below Flat Creek near Jackson, WY"
JKSY,Q,M,Discharge - CFS,"Snake River below Flat Creek near Jackson, WY"
KAC,AF,P,Reservoir Storage - Acre-Feet,"KACHESS RESERVOIR,RIVER AND WEATHER STATION"
KAC,FB,P,Forebay Elevation - Feet,"KACHESS RESERVOIR,RIVER AND WEATHER STATION"
KAC,GH,P,Gauge Height - Feet,"KACHESS RESERVOIR,RIVER AND WEATHER STATION"
KAC,PC,P,"PRECIP, CUMULATIVE (INCHES OF WATER)","KACHESS RESERVOIR,RIVER AND WEATHER STATION"
KAC,Q,P,Discharge - CFS,"KACHESS RESERVOIR,RIVER AND WEATHER STATION"
KEE,AF,P,Reservoir Storage - Acre-Feet,KEECHELUS RESERVOIR-YAK AT MARTIN AND WEATHER STA.
KEE,FB,P,Forebay Elevation - Feet,KEECHELUS RESERVOIR-YAK AT MARTIN AND WEATHER STA.
KEE,GH,P,Gauge Height - Feet,KEECHELUS RESERVOIR-YAK AT MARTIN AND WEATHER STA.
KEE,OB,P,Air Temperature - Deg. F,KEECHELUS RESERVOIR-YAK AT MARTIN AND WEATHER STA.
KEE,PC,P,"PRECIP, CUMULATIVE (INCHES OF WATER)",KEECHELUS RESERVOIR-YAK AT MARTIN AND WEATHER STA.
KEE,Q,P,Discharge - CFS,KEECHELUS RESERVOIR-YAK AT MARTIN AND WEATHER STA.
KETI,OB,M,Air Temperature - Deg. F,Ketchum Ranger Station
KETI,PC,M,"PRECIP, CUMULATIVE (INCHES) (20""FP with HANDAR Encoder)",Ketchum Ranger Station
KFLO,OB,P,Air Temperature - Deg. F,Klamath Falls
KFLO,PC,P,"PRECIP, CUMULATIVE",Klamath Falls
KFLW,OB,P,Air Temperature - Deg. F,Kettle Falls
KFLW,PC,P,"PRECIP, CUMULATIVE",Kettle Falls
KIOW,GH,P,Gauge Height - Feet,"YAKIMA RIVER AT KIONA, WA"
KIOW,Q,P,Discharge - CFS,"YAKIMA RIVER AT KIONA, WA"
KNCW,CH,P,Canal Gauge Height (feet),KENNEWICK CANAL
KNCW,QC,P,Canal Discharge - CFS,KENNEWICK CANAL
KTCW,CH,P,Canal Gauge Height (feet),KITTITAS CANAL
KTCW,OB,P,Air Temperature - Deg. F,KITTITAS CANAL
KTCW,QC,P,Canal Discharge - CFS,KITTITAS CANAL
LAKO,OB,P,Air Temperature - Deg. F,Lakeview
LAKO,PC,P,"PRECIP, CUMULATIVE",Lakeview
LBCO,GH,P,Gauge Height - Feet,"Little Butte Creek at Lakecreek, OR"
LBCO,OB,P,Air Temperature - Deg. F,"Little Butte Creek at Lakecreek, OR"
LBCO,PC,P,ACCUMULATED PRECIPITATION - HUNDREDTHS OF AN INCH),"Little Butte Creek at Lakecreek, OR"
LBCO,Q,P,Discharge - CFS,"Little Butte Creek at Lakecreek, OR"
LBGO,GH,P,Gauge Height - Feet,"Little Butte Ck at Eagle Point, OR"
LBGO,Q,P,,"Little Butte Ck at Eagle Point, OR"
LBRW,OB,P,Air Temperature - Deg. F,Lake Bryan - Rice Bar
LBRW,PC,P,"PRECIP, CUMULATIVE",Lake Bryan - Rice Bar
LEFO,GH,P,Gage Height - Feet,"Tualatin River below Lee Falls nr Cherry Grove, OR"
LEFO,Q,P,Discharge - CFS,"Tualatin River below Lee Falls nr Cherry Grove, OR"
LEGW,OB,P,Air Temperature - Deg. F,Legrow
LEGW,PC,P,"PRECIP, CUMULATIVE",Legrow
LIDW,OB,P,Air Temperature - Deg. F,Lind
LIDW,PC,P,"PRECIP, CUMULATIVE",Lind
LNRW,GH,P,Gauge Height - Feet,"LITTLE NACHES RIVER NEAR NILE, WA"
LNRW,Q,P,Discharge - CFS,"LITTLE NACHES RIVER NEAR NILE, WA"
LORI,GH,M,Gauge Height - Feet,"Snake River at Lorenzo, ID"
LORI,Q,M,Discharge - CFS,"Snake River at Lorenzo, ID"
LORO,OB,P,Air Temperature - Deg. F,Lorella
LORO,PC,P,"PRECIP, CUMULATIVE",Lorella
LOW,AF,M,Reservoir Storage - Acre-Feet,"Lake Lowell at Lower Embankment near Caldwell, ID"
LOW,FB,M,Forebay Elevation - Feet,"Lake Lowell at Lower Embankment near Caldwell, ID"
LUC,AF,M,Reservoir Storage - Acre-Feet,"Lucky Peak Lake near Boise, ID"
LUC,FB,M,Forebay Elevation - Feet,"Lucky Peak Lake near Boise, ID"
LUC,QE,M,"DISCHARGE, POWERHOUSE INSTANTANEOUS (CFS)","Lucky Peak Lake near Boise, ID"
LUC,Q,M,Discharge - CFS,"Lucky Peak Lake near Boise, ID"
LUC,QT,M,Total Flow of Powerplant plus Slide Gates (Accusonic),"Lucky Peak Lake near Boise, ID"
LWOI,GH,M,Gauge Height - Feet,"Little Wood River above High Five Creek, ID"
LWOI,Q,M,Discharge - CFS,"Little Wood River above High Five Creek, ID"
MAFO,QC,P,Canal Flow - CFS,Maxwell Diversion
MALI,OB,M,Air Temperature - Deg. F,Malta
MALI,PC,M,"PRECIP, CUMULATIVE",Malta
MAN,AF,M,Reservoir Storage - Acre-Feet,"Mann Creek Dam and Reservoir nr Weiser, ID"
MAN,FB,M,Forebay Elevation - Feet,"Mann Creek Dam and Reservoir nr Weiser, ID"
MASW,OB,P,Air Temperature - Deg. F,Manson
MASW,PC,P,"PRECIP, CUMULATIVE",Manson
MAXO,CH,P,Canal Gauge Height (feet),"Maxwell Canal near Hermiston, OR"
MAXO,QC,P,Canal Discharge - CFS,"Maxwell Canal near Hermiston, OR"
MCFO,GH,P,Gauge Height - Feet,McKay Ck. Adult Fish Barrier
MCK,AF,P,Reservoir Storage - Acre-Feet,"McKay Reservoir near Pendleton, OR"
MCK,FB,P,Forebay Elevation - Feet,"McKay Reservoir near Pendleton, OR"
MCKO,GH,P,Gauge Height - Feet,"Mckay Creek near Pendleton, OR"
MCKO,Q,P,Discharge - CFS,"Mckay Creek near Pendleton, OR"
MDFO,OB,P,Air Temperature - Deg. F,Medford
MDFO,PC,P,"PRECIP, CUMULATIVE",Medford
MDXO,OB,P,Air Temperature - Deg. F,Moody Farms
MDXO,PC,P,"PRECIP, CUMULATIVE",Moody Farms
MFDO,GH,P,Gauge Height - Feet,"Bear Creek at Medford, OR"
MFDO,Q,P,Discharge - CFS,"Bear Creek at Medford, OR"
MHPI,QE,M,"Powerplant Discharge, Unit 1 - cfs",Milner Power Plant (Idaho Power Co.)
MHPI,Q,M,Total Discharge (QE + QZ) - cfs,Milner Power Plant (Idaho Power Co.)
MHPI,QZ,M,"Powerplant Discharge, Unit 2 - cfs",Milner Power Plant (Idaho Power Co.)
MIDO,CH,P,Canal Gage Height - Feet,Medford ID Canal at Bradshaw Drop nr Brownsboro
MIDO,QC,P,Canal Discharge - cfs,Medford ID Canal at Bradshaw Drop nr Brownsboro
MIL,AF,M,Reservoir Storage - Acre-Feet,"Milner Dam and Reservoir, Idaho"
MIL,FB,M,Forebay Elevation - Feet,"Milner Dam and Reservoir, Idaho"
MILI,GH,M,Gauge Height - Feet,"Snake River at Milner, Idaho"
MILI,Q,M,Discharge - CFS,"Snake River at Milner, Idaho"
MILI,QT,M,Total Combined Flow MILI Q + MHPI QE + MHPI QZ,"Snake River at Milner, Idaho"
MIN,AF,M,Reservoir Storage - Acre-Feet,"Minidoka Dam and Lake Walcott, ID"
MIN,CH,M,"MINIDOKA NORTHSIDE CANAL STAGE, FEET","Minidoka Dam and Lake Walcott, ID"
MIN,FB,M,Forebay Elevation - Feet,"Minidoka Dam and Lake Walcott, ID"
MIN,GH,M,Gauge Height - Feet,"Minidoka Dam and Lake Walcott, ID"
MINI,GH,M,Gauge Height - Feet,"Snake River near Minidoka, ID"
MINI,Q,M,Discharge - CFS,"Snake River near Minidoka, ID"
MIN,OB,M,Air Temperature - Deg. F,"Minidoka Dam and Lake Walcott, ID"
MIN,PC,M,"PRECIP, CUMULATIVE (INCHES OF WATER) (12"" Belfort)","Minidoka Dam and Lake Walcott, ID"
MLCO,GH,P,Gauge Height - Feet,"Mill Creek nr Prineville, OR"
MLCO,Q,P,Discharge - cfs,"Mill Creek nr Prineville, OR"
MOCN,OB,P,Air Temperature - Deg. F,"Mountain City Ranger Station, NV"
MOCN,PC,P,"PRECIP, CUMULATIVE (INCHES OF WATER) (20""Belfort)","Mountain City Ranger Station, NV"
MORI,GH,M,Gauge Height - Feet,"Mores Creek above Robie Creek, ID"
MORI,Q,M,Discharge - CFS,"Mores Creek above Robie Creek, ID"
MRSO,OB,P,Air Temperature - Deg. F,Madras
MRSO,PC,P,"PRECIP, CUMULATIVE",Madras
MWSO,OB,P,Air Temperature - Deg. F,Middle Warm Springs
MWSO,PC,P,"PRECIP, CUMULATIVE",Middle Warm Springs
MYKO,GH,P,Gauge Height - Feet,"Mckay Creek near Pilot Rock, OR"
MYKO,Q,P,Discharge - CFS,"Mckay Creek near Pilot Rock, OR"
NACW,GH,P,"GAGE HEIGHT, INSTANTANEOUS (FEET)","NACHES RIVER NEAR NACHES,WA."
NACW,Q,P,"DISCHARGE, INSTANTANEOUS (KCFS)","NACHES RIVER NEAR NACHES,WA."
NCAO,CH,P,Canal Gauge Height (feet),"North Canal near Bend, OR"
NCAO,QC,P,Canal Discharge - CFS,"North Canal near Bend, OR"
NCDO,GH,P,Gauge Height - Feet,"Neil Creek mouth at Dead Indian rd nr Ashland, OR"
NCDO,Q,P,Discharge - CFS,"Neil Creek mouth at Dead Indian rd nr Ashland, OR"
NCFO,GH,P,Gauge Height - Feet,NEIL CR AB DUNN CR NR ASHLAND
NCFO,Q,P,Discharge - cfs,NEIL CR AB DUNN CR NR ASHLAND
NFBO,CH,P,Canal Stage - Feet,"North Fork Little Butte Creek Canal nr Lakecreek, OR"
NFBO,QC,P,"Canal discharge, cfs","North Fork Little Butte Creek Canal nr Lakecreek, OR"
NFFO,GH,P,Gauge Height - Feet,"N. Fork Big Butte Crk nr Butte Falls,OR"
NFFO,Q,P,Discharge - CFS,"N. Fork Big Butte Crk nr Butte Falls,OR"
NFLO,GH,P,Gauge Height - Feet,"North Fork Little Butte Creek at 140, OR"
NFLO,Q,P,Discharge - cfs,"North Fork Little Butte Creek at 140, OR"
NMCI,CH,M,Canal Gauge Height - Feet,Minidoka Northside Canal
NMCI,QC,M,Canal Discharge - CFS,Minidoka Northside Canal
NMCO,CH,P,"CANAL STAGE, INST. (FEET) - For North Unit Main Canal (NMCO)",North Unit Main Canal
NMCO,QC,P,Canal Discharge - CFS,North Unit Main Canal
NMPI,OB,M,Air Temperature - Deg. F,Nampa
NMPI,PC,M,"PRECIP, CUMULATIVE",Nampa
NRYW,GH,P,Gauge Height - Feet,"NACHES RIVER NEAR YAKIMA, WA"
NRYW,Q,P,Discharge - CFS,"NACHES RIVER NEAR YAKIMA, WA"
NSCW,CH,P,Canal Gauge Height (feet),NACHES SELAH CANAL
NSCW,QC,P,Canal Discharge - CFS,NACHES SELAH CANAL
OCH,AF,P,Reservoir Storage - Acre-Feet,"Ochoco Reservoir near Prineville, OR"
OCH,FB,P,Forebay Elevation - Feet,"Ochoco Reservoir near Prineville, OR"
OCH,GH,P,Gauge Height - Feet,"Ochoco Reservoir near Prineville, OR"
OCHO,CH,P,Canal Gauge Height (feet),"Ochoco Creek below Ochoco Reservoir, OR"
OCHO,GH,P,Gauge Height - Feet,"Ochoco Creek below Ochoco Reservoir, OR"
OCHO,OB,P,Air Temperature - Deg. F,"Ochoco Creek below Ochoco Reservoir, OR"
OCHO,PC,P,"PRECIP, CUMULATIVE (INCHES OF WATER) (12""Belfort)","Ochoco Creek below Ochoco Reservoir, OR"
OCHO,QC,P,Canal Discharge - CFS,"Ochoco Creek below Ochoco Reservoir, OR"
OCHO,Q,P,Discharge - CFS,"Ochoco Creek below Ochoco Reservoir, OR"
OCRO,GH,P,Gauge Height - Feet,"Ochoco Cr. above Reservoir nr Prineville, OR"
OCRO,Q,P,Discharge - cfs,"Ochoco Cr. above Reservoir nr Prineville, OR"
OCWO,OB,P,Air Temperature - Deg. F,"Ochoco Ranger Station, OR"
OCWO,PC,P,"PRECIP, CUMULATIVE (INCHES OF WATER) (12"" Belfort)","Ochoco Ranger Station, OR"
ODSW,OB,P,Air Temperature - Deg. F,Odessa
ODSW,PC,P,"PRECIP, CUMULATIVE",Odessa
OMAW,OB,P,Air Temperature - Deg. F,Omak
OMAW,PC,P,"PRECIP, CUMULATIVE",Omak
ONTO,OB,M,Air Temperature - Deg. F,Ontario
ONTO,PC,M,"PRECIP, CUMULATIVE",Ontario
OWY,AF,M,Reservoir Storage - Acre-Feet,"Lake Owyhee and Owyhee River near Nyssa, OR"
OWY,FB,M,Forebay Elevation - Feet,"Lake Owyhee and Owyhee River near Nyssa, OR"
OWY,GH,M,Gauge Height - Feet,"Lake Owyhee and Owyhee River near Nyssa, OR"
OWYN,OB,P,Air Temperature - Deg. F,"Owyhee, NV"
OWYN,PC,P,"PRECIP, CUMULATIVE (INCHES OF WATER) (20""Belfort)","Owyhee, NV"
OWY,OB,M,Air Temperature - Deg. F,"Lake Owyhee and Owyhee River near Nyssa, OR"
OWY,PC,M,"PRECIP, CUMULATIVE (INCHES OF WATER) (12""Belfort)","Lake Owyhee and Owyhee River near Nyssa, OR"
OWY,Q,M,Discharge - CFS,"Lake Owyhee and Owyhee River near Nyssa, OR"
PAL,AF,M,Reservoir Storage - Acre-Feet,"Palisades Reservoir near Irwin, ID"
PAL,FB,M,Forebay Elevation - Feet,"Palisades Reservoir near Irwin, ID"
PAL,GH,M,Gauge Height - Feet,"Palisades Reservoir near Irwin, ID"
PALI,GH,M,Gauge Height - Feet,"Snake River near Irwin, ID"
PALI,OB,M,Air Temperature - Deg. F,"Snake River near Irwin, ID"
PALI,PC,M,"PRECIP, CUMULATIVE (INCHES OF WATER) (20""Belfort)","Snake River near Irwin, ID"
PALI,Q,M,Discharge - CFS,"Snake River near Irwin, ID"
PAR,FB,P,Forebay Elevation - Feet,YAK RIVER NR. PARKER SUNNYSIDE POOL
PARI,GH,M,Gauge Height - Feet,"Boise River near Parma, ID"
PARI,Q,M,Discharge - CFS,"Boise River near Parma, ID"
PARO,OB,P,Air Temperature - Deg. F,Parkdale
PARO,PC,P,"PRECIP, CUMULATIVE",Parkdale
PARW,GH,P,Gauge Height - Feet,"YAKIMA RIVER NEAR PARKER, WA."
PARW,Q,P,Discharge - CFS,"YAKIMA RIVER NEAR PARKER, WA."
PAY,AF,M,Reservoir Storage - Acre-Feet,"Payette Lake at McCall, Idaho"
PAY,FB,M,Forebay Elevation - Feet,"Payette Lake at McCall, Idaho"
PAYI,GH,M,Gauge Height - Feet,"North Fork Payette River at McCall, Idaho"
PAYI,Q,M,Discharge - CFS,"North Fork Payette River at McCall, Idaho"
PAY,OB,M,Air Temperature - Deg. F,"Payette Lake at McCall, Idaho"
PCKY,GH,M,Gauge Height - Feet,"Pacific Creek at Moran, WY"
PCKY,Q,M,Discharge - CFS,"Pacific Creek at Moran, WY"
PCYO,OB,P,Air Temperature - Deg. F,Prairie City
PCYO,PC,P,"PRECIP, CUMULATIVE",Prairie City
PDTO,GH,P,Gauge Height - Feet,"Umatilla River at Pendleton, OR"
PDTO,Q,P,Discharge - CFS,"Umatilla River at Pendleton, OR"
PHL,AF,P,Reservoir Storage - Acre-Feet,"Mason Dam and Phillips Lake near Sumpter, OR"
PHL,FB,P,Forebay Elevation - Feet,"Mason Dam and Phillips Lake near Sumpter, OR"
PHL,GH,P,Gauge Height - Feet,"Mason Dam and Phillips Lake near Sumpter, OR"
PHL,OB,P,Air Temperature - Deg. F,"Mason Dam and Phillips Lake near Sumpter, OR"
PHL,PC,P,"PRECIP, CUMULATIVE (INCHES OF WATER) (12""Belfort)","Mason Dam and Phillips Lake near Sumpter, OR"
PHL,Q,P,Discharge - CFS,"Mason Dam and Phillips Lake near Sumpter, OR"
PHXO,CH,P,Canal Gage Height - Feet,"Phoenix Canal at Talent, OR"
PHXO,QC,P,Canal discharge - cfs,"Phoenix Canal at Talent, OR"
PICI,OB,M,Air Temperature - Deg. F,Picabo
PICI,PC,M,"PRECIP, CUMULATIVE",Picabo
PILO,OB,P,Air Temperature - Deg. F,"Pilot Rock 11E, OR"
PILO,PC,P,"PRECIP, CUMULATIVE (INCHES OF WATER) (12""Belfort)","Pilot Rock 11E, OR"
PLEI,GH,M,Gauge Height - Feet,"Payette River near Letha, ID"
PLEI,Q,M,Discharge - CFS,"Payette River near Letha, ID"
PMAI,OB,M,Air Temperature - Deg. F,Parma
PMAI,PC,M,"PRECIP, CUMULATIVE",Parma
PNGO,OB,P,Air Temperature - Deg. F,Pine Grove
PNGO,PC,P,"PRECIP, CUMULATIVE",Pine Grove
PNRI,GH,M,Gauge Height - Feet,"PN Region USBR Hydromet Test Site - Boise, ID"
PNRI,OB,M,Air Temperature - Deg. F,"PN Region USBR Hydromet Test Site - Boise, ID"
PNRI,PC,M,"PRECIP, CUMULATIVE (INCHES OF WATER) (12"" Belfort)","PN Region USBR Hydromet Test Site - Boise, ID"
PNRI,Q,M,Discharge - cfs,"PN Region USBR Hydromet Test Site - Boise, ID"
POBO,OB,P,Air Temperature - Deg. F,Powell Butte
POBO,PC,P,"PRECIP, CUMULATIVE",Powell Butte
PRIO,OB,P,Air Temperature - Deg. F,"Prineville 4NW, OR"
PRIO,PC,P,"PRECIP, CUMULATIVE (INCHES OF WATER) (12""Belfort)","Prineville 4NW, OR"
PRLI,OB,M,Air Temperature - Deg. F,"South Fork Payette River at Lowman, ID"
PRLI,PC,M,"PRECIP, CUMULATIVE (INCHES OF WATER) (20""Belfort)","South Fork Payette River at Lowman, ID"
PRO,FB,P,Forebay Elevation - Feet,PROSSER RESERVOIR
PRO,OB,P,Air Temperature - Deg. F,PROSSER RESERVOIR
PRPI,GH,M,Gauge Height - Feet,"Payette River near Payette, ID"
PRPI,Q,M,Discharge - CFS,"Payette River near Payette, ID"
PRV,AF,P,Reservoir Storage - Acre-Feet,"Prineville Reservoir nr Prineville, OR"
PRV,FB,P,Forebay Elevation - Feet,"Prineville Reservoir nr Prineville, OR"
PRVO,GH,P,Gauge Height - Feet,"Crooked River near Prineville, OR"
PRVO,Q,P,Discharge - CFS,"Crooked River near Prineville, OR"
PWDO,GH,P,Gauge Height - Feet,"Powder River at Baker, OR"
PWDO,Q,P,Discharge - CFS,"Powder River at Baker, OR"
RBDW,GH,P,Gauge Height - Feet,YAKIMA RIVER BELOW ROZA DAM
RBDW,Q,P,Discharge - CFS,YAKIMA RIVER BELOW ROZA DAM
RDBM,OB,M,Air Temperature - Deg. F,Roundbutte
RDBM,PC,M,"PRECIP, CUMULATIVE",Roundbutte
RDR,AF,P,Reservoir Storage - Acre-Feet,ROZA RESERVOIR
RDR,FB,P,Forebay Elevation - Feet,ROZA RESERVOIR
RDR,OB,P,Air Temperature - Deg. F,ROZA RESERVOIR
RIM,AF,P,Reservoir Storage - Acre-Feet,"RIMROCK RESERVOIR,TIETON RIVER AND WEATHER STATION"
RIM,FB,P,Forebay Elevation - Feet,"RIMROCK RESERVOIR,TIETON RIVER AND WEATHER STATION"
RIM,GH,P,Gauge Height - Feet,"RIMROCK RESERVOIR,TIETON RIVER AND WEATHER STATION"
RIM,OB,P,Air Temperature - Deg. F,"RIMROCK RESERVOIR,TIETON RIVER AND WEATHER STATION"
RIM,PC,P,"PRECIP, CUMULATIVE (INCHES OF WATER)","RIMROCK RESERVOIR,TIETON RIVER AND WEATHER STATION"
RIM,Q,P,Discharge - CFS,"RIMROCK RESERVOIR,TIETON RIVER AND WEATHER STATION"
RIR,AF,M,Reservoir Storage - Acre-Feet,"Ririe Dam and Lake near Ririe, ID"
RIR,FB,M,Forebay Elevation - Feet,"Ririe Dam and Lake near Ririe, ID"
RIR,Q,M,Discharge - CFS,"Ririe Dam and Lake near Ririe, ID"
